Capital;Homens;Mulheres;Publica;Privada
Porto Velho;9,04;10,83;10,14;8,99
Rio Branco;11,61;11,15;11,42;10,95
Manaus;11,96;14,17;13,35;11,36
Boa Vista;12,55;13,58;13,34;10,2
Belem;10,9;14,71;12,96;12,52
Macapa;12,22;14,34;13,76;9,91
Palmas;10,11;9,1;9,87;8,95
Sao Luis;10,34;12,3;11,48;11
Teresina;9,99;11,37;10,7;10,79
Fortaleza;12,22;12,07;12,99;10,54
Natal;10,02;12,01;11,47;10,37
Joao Pessoa;9,73;11,57;10,68;11,36
Recife;12,9;15,33;15,61;11,45
Maceio;10,6;11,66;10,76;11,78
Aracaju;10,82;12,46;12,74;10,23
Salvador;11,01;15,57;14,65;10,34
Belo Horizonte;9,83;12,29;11,33;10,31
Vitoria;9,78;11,73;12,09;8,3
Rio de Janeiro;12,31;14,01;13,99;11,71
Sao Paulo;11,98;14,3;13,74;10,97
Curitiba;10,08;12,33;11,69;9,34
Florianopolis;8,18;9,1;9,18;7,18
Porto Alegre;9,19;10,95;10,67;8,17
Campo Grande;9,18;11,83;10,66;9,47
Cuiaba;11,61;12,56;12,69;9,88
Goiania;10,72;11,74;11,83;10,01
Brasilia;9,82;12,25;11,39;10,29
